ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,GO_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,5/23,29/16631,3.69031910057952e-10,1.34696647171153e-07,7.6137109864588e-08,Tpi1/Pgk1/Aldoa/Pkm/Pgam1,5
GO_GLYCOLYTIC_PROCESS,GO_GLYCOLYTIC_PROCESS,6/23,109/16631,6.35982100918774e-09,1.16066733417676e-06,6.56065746210946e-07,Tpi1/Pgk1/Ldha/Aldoa/Pkm/Pgam1,6
GO_CARBOHYDRATE_CATABOLIC_PROCESS,GO_CARBOHYDRATE_CATABOLIC_PROCESS,6/23,187/16631,1.60583764332553e-07,1.95376913271273e-05,1.10436553716422e-05,Tpi1/Pgk1/Ldha/Aldoa/Pkm/Pgam1,6
GO_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,GO_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,4/23,97/16631,8.84314207919743e-06,0.000806936714726766,0.000456119959874394,Tpi1/Pgk1/Aldoa/Pgam1,4
GO_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,GO_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,3/23,52/16631,4.88523529787348e-05,0.0033205890301046,0.00187695875962654,Adam8/Mif/Prelid1,3
GO_BIOMINERAL_TISSUE_DEVELOPMENT,GO_BIOMINERAL_TISSUE_DEVELOPMENT,4/23,154/16631,5.45850251524044e-05,0.0033205890301046,0.00187695875962654,Gpnmb/Spp1/Ecm1/Mgp,4
GO_POSITIVE_REGULATION_OF_LIPID_TRANSPORT,GO_POSITIVE_REGULATION_OF_LIPID_TRANSPORT,3/23,65/16631,9.54298057089097e-05,0.00405084979802627,0.00228973773731262,Mif/Spp1/Prelid1,3
GO_POSITIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS,GO_POSITIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS,2/23,11/16631,9.9864538417902e-05,0.00405084979802627,0.00228973773731262,Adam8/Prelid1,2
GO_LYMPHOCYTE_APOPTOTIC_PROCESS,GO_LYMPHOCYTE_APOPTOTIC_PROCESS,3/23,66/16631,9.98839676225657e-05,0.00405084979802627,0.00228973773731262,Adam8/Mif/Prelid1,3
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,2/23,15/16631,0.00019000966240768,0.00689832783467441,0.00389927110481957,Adam8/Prelid1,2
