	X0	X1	X2	X3	X4	X5	X6	X7	X8
Sox17	0.00247524752475248	0	0.416901408450704	0.0102040816326531	0	0.323232323232323	0	0	0.0384615384615385
Mrpl15	0.073019801980198	0.0826032540675845	0.146478873239437	0.0952380952380952	0.0235294117647059	0.121212121212121	0.1	0.15625	0
Lypla1	0.0655940594059406	0.0538172715894869	0.211267605633803	0.0850340136054422	0.0588235294117647	0.0909090909090909	0.0857142857142857	0.15625	0
Tcea1	0.196782178217822	0.112640801001252	0.211267605633803	0.0918367346938776	0.117647058823529	0.171717171717172	0.142857142857143	0.234375	0.0769230769230769
Atp6v1h	0.0532178217821782	0.0600750938673342	0.11830985915493	0.0612244897959184	0.0431372549019608	0.0707070707070707	0.0571428571428571	0.09375	0.0384615384615385
Rb1cc1	0.101485148514851	0.0675844806007509	0.205633802816901	0.136054421768707	0.0627450980392157	0.171717171717172	0.0714285714285714	0.078125	0.115384615384615
4732440D04Rik	0.0160891089108911	0.00625782227784731	0.0197183098591549	0	0.00784313725490196	0.0101010101010101	0.0142857142857143	0.03125	0
St18	0	0.00125156445556946	0	0.00340136054421769	0	0	0	0	0
Pcmtd1	0.173267326732673	0.0638297872340425	0.352112676056338	0.0578231292517007	0.109803921568627	0.393939393939394	0.157142857142857	0.1875	0.0769230769230769
Sntg1	0.00742574257425743	0	0	0	0	0	0	0	0
Rrs1	0.118811881188119	0.0175219023779725	0.047887323943662	0.0204081632653061	0.0352941176470588	0.131313131313131	0.142857142857143	0.09375	0
Adhfe1	0.00618811881188119	0	0	0	0	0	0	0	0
Mybl1	0.00742574257425743	0	0.0028169014084507	0	0.00784313725490196	0	0	0	0
Vcpip1	0.0334158415841584	0.0400500625782228	0.0535211267605634	0.0374149659863946	0.0235294117647059	0.0606060606060606	0.0285714285714286	0.078125	0
Sgk3	0.0173267326732673	0.0963704630788486	0.0788732394366197	0.146258503401361	0.0117647058823529	0.0404040404040404	0.0571428571428571	0.0625	0
Snhg6	0.0321782178217822	0.0300375469336671	0.0676056338028169	0.0408163265306122	0.0274509803921569	0.0606060606060606	0.0571428571428571	0.078125	0
Cops5	0.0742574257425743	0.0550688360450563	0.112676056338028	0.0952380952380952	0.0627450980392157	0.0909090909090909	0.0285714285714286	0.09375	0.0384615384615385
Cspp1	0.0581683168316832	0.0350438047559449	0.0873239436619718	0.0306122448979592	0.0196078431372549	0.0606060606060606	0.128571428571429	0.140625	0.0384615384615385
Arfgef1	0.0408415841584158	0.032540675844806	0.0619718309859155	0.0476190476190476	0.0274509803921569	0.0303030303030303	0.0857142857142857	0.09375	0
Prex2	0.0346534653465347	0.00125156445556946	0.540845070422535	0.0102040816326531	0.0156862745098039	0.505050505050505	0	0	0
Sulf1	0.215346534653465	0.00250312891113892	0.028169014084507	0.00340136054421769	0.247058823529412	0.212121212121212	0	0	0
Slco5a1	0.00123762376237624	0	0	0.00680272108843537	0	0	0	0	0
Ncoa2	0.021039603960396	0.0200250312891114	0.0535211267605634	0.0238095238095238	0.00392156862745098	0.0707070707070707	0.0142857142857143	0.15625	0
Tram1	0.52970297029703	0.334167709637046	0.284507042253521	0.30952380952381	0.254901960784314	0.393939393939394	0.357142857142857	0.484375	0.269230769230769
Lactb2	0.0235148514851485	0.0300375469336671	0.0225352112676056	0.0136054421768707	0.0196078431372549	0.0202020202020202	0.0142857142857143	0.0625	0.0384615384615385
Eya1	0	0	0.0197183098591549	0	0	0	0	0	0
Gm9947	0.00371287128712871	0	0	0	0	0	0	0	0
Msc	0.0160891089108911	0.00125156445556946	0	0	0	0	0	0	0
Terf1	0.0284653465346535	0.016270337922403	0.11830985915493	0.0272108843537415	0.0117647058823529	0.0101010101010101	0.0571428571428571	0.078125	0
Sbspon	0.00247524752475248	0	0	0	0.0117647058823529	0	0	0	0
Rpl7	0.944306930693069	0.959949937421777	0.870422535211268	0.908163265306122	0.96078431372549	0.96969696969697	0.971428571428571	0.953125	1
Rdh10	0.0222772277227723	0.00876095118898623	0.0225352112676056	0.00680272108843537	0	0.0202020202020202	0	0	0
Stau2	0.0160891089108911	0.0100125156445557	0.0140845070422535	0.00340136054421769	0.00392156862745098	0.0303030303030303	0	0	0
Ube2w	0.142326732673267	0.0500625782227785	0.123943661971831	0.054421768707483	0.0901960784313725	0.0808080808080808	0.114285714285714	0.09375	0
Eloc	0.299504950495049	0.280350438047559	0.295774647887324	0.360544217687075	0.431372549019608	0.434343434343434	0.242857142857143	0.34375	0.346153846153846
Tmem70	0.0742574257425743	0.0463078848560701	0.135211267605634	0.0646258503401361	0.0509803921568627	0.0707070707070707	0.0428571428571429	0.140625	0
Ly96	0.0433168316831683	0.158948685857322	0.0845070422535211	0.102040816326531	0.00784313725490196	0.101010101010101	0.0142857142857143	0.0625	0.153846153846154
Jph1	0.00495049504950495	0	0	0	0.00392156862745098	0	0	0	0
Pi15	0.099009900990099	0.00250312891113892	0	0	0.211764705882353	0	0	0	0
Gm28154	0.00247524752475248	0	0.0028169014084507	0	0	0	0	0	0
